"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","10/15/05","87","CARP","CHRISTOPHER","","","","","","","","","","","","0","0","","","","","","","","","","1","38","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","87","CARP","CHRISTOPHER","","","","","","","","","","","","0","0","","","","","","","","","","3","104","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","87","CARP","CHRISTOPHER","","","","","","","","","","","","0","0","","","","","","","","","","3","118","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/05","87","CARP","CHRISTOPHER","","","","","","","","","","","","0","0","","","","","","","","","","2","56","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","97","CLAYTON","JOSH","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","0","0","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","2","0","0","","","","","2","2","","8"
"721","Air Force","09/10/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","5","0","0","","","","","2","0","","5"
"721","Air Force","09/17/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","2","0","0","","","","","","","","2"
"721","Air Force","09/22/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","5","5","0","0","","","","","","","","5"
"721","Air Force","09/29/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","2","0","0","","","","","3","3","","11"
"721","Air Force","10/08/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","3","0","0","","","","","1","1","","6"
"721","Air Force","10/15/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","6","0","0","","","","","","","","6"
"721","Air Force","10/22/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","3","1","","4"
"721","Air Force","10/29/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","5","0","0","","","","","","","","5"
"721","Air Force","11/05/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","3","0","0","","","","","1","1","","6"
"721","Air Force","11/19/05","12","EBERLE","SCOTT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","4","4","0","0","","","","","4","2","","10"
"721","Air Force","10/15/05","14","EWING","LUCAS","2","6","0","6","0","","","","","","","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","16","FITCH","ADAM","2","21","0","21","0","8","4","0","100","1","","10","121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","16","FITCH","ADAM","3","9","7","2","0","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","16","FITCH","ADAM","5","38","0","38","1","9","4","0","89","1","","14","127","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/29/05","16","FITCH","ADAM","4","18","0","18","0","2","0","0","0","0","","6","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","16","FITCH","ADAM","3","12","0","12","0","5","4","0","22","0","","8","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","16","FITCH","ADAM","2","9","0","9","0","4","0","0","0","0","","6","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","16","FITCH","ADAM","9","30","6","24","0","24","13","2","265","5","","33","289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/05","16","FITCH","ADAM","5","18","0","18","0","2","1","0","9","0","","7","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","16","FITCH","ADAM","2","26","0","26","0","","","","","","","2","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","11","GIANNINI","BOBBY","","","","","","","","","","","","0","0","","","","1","35","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","11","GIANNINI","BOBBY","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","11","GIANNINI","BOBBY","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","13","GRAY","ANDY","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","16","0","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","13","GRAY","ANDY","","","","","","","","","","","","0","0","","","","1","12","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","23","HALL","CHAD","7","25","0","25","0","","","","","","","7","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
