"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","12/02/06","32","ALTMAN","HUNTER","","","","","","","","","","","","0","0","","","","","","","","","","","","0","15","1","1","2","0","1","","","","","","","","","","","","6"
"721","Air Force","09/09/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","24","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/23/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/07/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","2","14","0","","","","","","","","","","","","1","22","0","","","","","","","","","","","","","0"
"721","Air Force","10/12/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","2","29","1","","","","","","","","","","","","3","56","0","1","","","","","","","","","","","","6"
"721","Air Force","10/21/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","9","0","","","","","","","","","","","","1","31","0","","","","","","","","","","","","","0"
"721","Air Force","11/03/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","36","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/11/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","7","0","","","","","","","","","","","","3","68","0","","","","","","","","","","","","","0"
"721","Air Force","11/24/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","34","0","","","","","","","","","","","","3","55","0","","","","","","","","","","","","","0"
"721","Air Force","12/02/06","83","ARMSTRONG","SPENCER","","","","","","","","","","","","0","0","1","15","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/03/06","41","BARLOW","","2","4","0","4","0","","","","","","","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/09/06","5","CARNEY","SHAUN","17","64","12","52","1","9","7","0","127","0","","26","179","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/23/06","5","CARNEY","SHAUN","25","134","3","131","2","7","3","0","40","1","","32","171","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","09/30/06","5","CARNEY","SHAUN","18","58","22","36","1","5","3","0","19","0","","23","55","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
